Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Ryne Stanek","2 Tms",77,327,3.974,61,13,1,39,34,11,39,3,0,89,0.214035087,0.305810397,0.38245614,0.29270682364334294,15947
2019,"Keury Mella","CIN",3.2,18,7.3636,5,2,0,3,3,0,2,1,0,4,0.3125,0.388888888,0.4375,0.33720262962229114,15964
2019,"Odrisamer Despaigne","CHW",13.1,68,9.45,24,5,1,14,14,3,7,0,1,7,0.406779661,0.470588235,0.677966101,0.47097545862197876,16017
2019,"Stevie Wilkerson","BAL",5.1,22,6.75,6,1,0,4,4,2,0,0,0,1,0.272727272,0.272727272,0.59090909,0.3502071906219829,16041
2019,"Stefan Crichton","ARI",30.1,123,3.5604,23,3,0,12,12,3,8,1,2,33,0.203539823,0.268292682,0.309734513,0.2501837528142773,16058
2019,"Nick Burdi","PIT",8.2,40,9.3461,11,2,1,9,9,1,3,0,0,17,0.297297297,0.35,0.486486486,0.3515003576874733,16074
2019,"Edubray Ramos","PHI",15,69,5.4,19,2,1,10,9,5,7,1,1,11,0.311475409,0.391304347,0.622950819,0.4130395177532645,16086
2019,"Cy Sneed","HOU",21.1,93,5.4844,26,5,0,13,13,5,5,0,0,23,0.298850574,0.336956521,0.528735632,0.36028467701829,16106
2019,"Daniel Ponce de Leon","STL",48.2,203,3.6986,36,7,0,21,20,6,26,3,2,52,0.206896551,0.315270935,0.350574712,0.287350192964077,16110
2019,"Jordan Romano","TOR",15.1,75,7.6305,17,1,0,14,13,4,9,0,4,21,0.274193548,0.4,0.483870967,0.3799948008855184,16122
2019,"Chris Ellis","KCR",1,5,0,1,0,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.3119803547859192,16125
2019,"John Curtiss","LAA",2.1,12,3.8572,2,1,0,1,1,0,3,0,0,1,0.222222222,0.416666666,0.333333333,0.34642958144346875,16128
2019,"David Hess","BAL",80,365,7.0875,94,17,2,73,63,28,30,0,2,68,0.287461773,0.348066298,0.608562691,0.3896882361140699,16130
2019,"Justin Shafer","TOR",39.2,182,3.8571,41,12,2,19,17,6,25,4,1,39,0.264516129,0.370165745,0.483870967,0.3546461634716745,16132
2019,"Carlos Rodon","CHW",34.2,158,5.1923,33,7,1,22,20,4,17,0,1,46,0.239130434,0.32278481,0.391304347,0.307087242603302,16137
2019,"Aaron Nola","PHI",202.1,852,3.8699,176,34,3,91,87,27,80,3,11,229,0.233112582,0.31485849,0.393377483,0.30388304107993314,16149
2019,"Eric Skoglund","KCR",21,101,9,30,8,1,21,21,5,9,0,1,4,0.337078651,0.396039603,0.617977528,0.41391675484062423,16155
2019,"Jace Fry","CHW",55,251,4.7455,44,10,0,33,29,7,43,3,3,68,0.217821782,0.361445783,0.371287128,0.32110658069936243,16159
